一2542556
娃   8563
姥    459
姪    295
姚   1354
姦   2155
威  32216
姻   3544
孩  80204
宣  25133
宦    187
室  93487
客  59085
宥    175
封  35062
屎   2607
屏   5712
屍   4903
屋  12885
峙    923
峒     38
巷  11381
帝  41120
帥  19869
帟     10
幽   9475
庠    302
度 147388
建 128612
弈     64
弭    205
彥   7903
很 417617
待  58350
徊   1060
律  27377
徇     28
後 459039
徉    540
怒   7861
思 101505
怠   1194
急  34127
怎 154174
怨  12485
恍   1352
恰   7158
恨  17543
恢   6562
恆   7813
恃    955
恬    712
恫    191
恪    118
恤    840
扁  27687
拜  35481
挖   6500
按  38098
拼  13120
拭   1464
持  95656
拮    171
拽    269
指 123022
拱   1070
拷   4423
拯   1626
括  20687
拾   5764
拴    154
挑  18981
挂   1026
政 134882
故  72033
斫     42
施  26632
既  28182
春  40107
昭  13816
映  13347
昧   3204
是3200626
星 128833
昨  27059
昱   3081
昤     12
曷     74
柿    278
染  11830
柱   3156
柔  21005
某  54845
柬     76
架  24796
枯   2803
柵   1733
柩     33
柯   4646
柄   1797
柑    148
枴     51
柚    626
查  52569
枸     58
柏   8866
柞     51
柳   6440
枰    141
柙     18
柢     78
柝     30
柒    248
歪   4592
殃    809
殆    476
段  62173
毒  32195
毗    241
氟    137
泉   7937
洋  25325
洲  21420
洪  15396
流  92482
津   4838
洌     48
洱    132
洞  12858
洗  18637
活 125568
洽  10902
派  24951
洶    697
洛   7470
泵    121
洹    412
洧     25
洸    384
洩   5631
洮     51
洵     91
洎     22
洫     13
炫   1561
為 847332
炳   1898
炬    762
炯    497
炭    787
炸   7863
炮   6650
炤    131
爰    195
牲   7177
牯    255
牴    183
狩    196
狠   5549
狡    793
玷     98
珊   4095
玻   4566
玲   8108
珍  15526
珀    379
玳     24
甚  60517
甭    474
畏   2427
界  78850
畎     18
畋     20
疫   1834
疤   1355
疥     45
疢     11
疣     19
癸    647
皆  26852
皇  12496
皈    506
盈   4818
盆   2519
盃   7539
盅    136
省  48656
盹     91
相 224206
眉  13561
看 632561
盾   7771
盼   7518
眇     20
矜    588
砂   9716
研 125550
砌    747
砍  17552
祆     35
祉    763
祈   3076
祇   1847
禹    880
禺     40
科 311419
秒   8827
秋  22281
穿  24088
突  30729
竿   2741
竽    317
籽    372
紂    139
紅  56845
紀  28226
紉     43
紇     19
約  69741
紆     25
缸   5193
美 173127
羿    429
耄     33
耐  13694
耍   5783
耑     12
耶  73163
胖  12923
胥    371
胚    422
胃   3424
胄     26
背  29813
胡  15405
胛    123
胎   7627
胞   8509
胤    262
胝     97
致  33582
舢     79
苧     62
范   2880
茅   1043
苣     46
苛   1663
苦  53817
茄    764
若 141796
茂   4915
茉    664
苒     56
苗   4802
英  77253
茁    958
苜     42
苔    890
苑   3067
苞    256
苓    756
苟   1055
苯    295
茆     40
虐   2221
虹   4300
虻     17
虺     22
衍   2307
衫   3594
要1034142
觔    148
計 137149
訂  17148
訃     16
貞   5040
負  43549
赴   2487
赳     28
趴   1077
軍  70663
軌   5054
述  31545
迦   1914
迢    563
迪   6384
迥    283
迭    300
迫  11981
迤     88
迨     79
郊   1811
郎  17737
郁   2826
郃     53
酋    527
酊     46
重 190069
閂     84
限  50622
陋   3807
陌   3815
降  18470
面 252008
革  10254
韋   2372
韭    144
音 170924
頁  14018
風 182757
飛  71452
食  22222
首  53235
香  32674
乘  12677
亳    111
倌    877
